type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
red,7.400984122685986,0.6696922803119213,0.12471225614466927,0.5,0.08121930836605235,22.507136801196797,95.58218958337392,0.9963350394289238,3.535595525251216,0.5470541404240634,9.436333438812971,3
red,7.6389964300067765,0.5888573431293292,0.23082799853991412,3.9801913597974545,0.08599255201283162,25.697261700303613,90.62244062695227,0.9965550668551199,3.2667031062442913,0.6796396209675226,11.53152498711618,3
red,7.180689715710226,0.6356837278352538,0.25673583274203776,2.0209891968085123,0.1168966853976876,5.100937842311076,62.088985871053694,0.9957495026502396,3.2530325133523084,0.4817903174742324,9.086975711937583,3
red,6.687526528994181,0.6105721544699982,0.26838364325668823,3.2713811599738305,0.1301837848703365,27.674871990874713,81.80591135983686,0.9940856971542021,3.3592623138950106,0.5547896261270421,10.16234424175472,3
red,7.036263371862622,0.6631654734148374,0.16661123196341537,1.6389830919664545,0.06222908161599566,10.256137666916706,42.18340401649539,0.9963748502046064,3.4569568449995147,0.5809828019688821,9.557634185541682,3
red,6.60668275600283,0.6038018747015536,0.3120181327272742,3.110657153008654,0.10109117021884434,4.742672122676732,43.75683997620861,0.9981531176713845,3.3644653338322006,0.6529731705034593,8.877938421112818,3
red,7.4481148820779515,0.7236202483478211,0.1600262913229406,0.9976982006473001,0.09247690870876,13.293957773006222,77.35366192769395,0.9960102123017225,3.1797181254094253,0.5093927006934628,11.86868729777299,4
red,8.472172196443626,0.6424982789977225,0.2415967027924412,2.4469664506036177,0.0879918473062995,1.0,53.199953270258895,0.9970439450125965,3.344991247658792,0.7520312378420456,8.5,3
red,7.006234785158936,0.6392067623388403,0.3673326976365381,3.663691587430945,0.08959957453495604,15.045781967239048,101.49175079442925,0.9928585366693322,3.436221389844854,0.6142150558078604,11.663320737296027,3
red,6.903620080144048,0.6409866917682556,0.20305941583928436,2.59014562979011,0.07956924299367343,17.897041392843967,60.598546944103134,0.9965847502180085,3.1854255458576692,0.6188659605828439,8.848386894409002,3
red,7.791873640148159,0.45433622574312793,0.21799986576249697,1.58577952879424,0.11182566274294248,12.996299163202243,14.288113700554439,0.9967560832165665,3.0924330397515782,0.6086820156332988,10.323642162892254,3
red,7.685509606528049,0.583536424819628,0.3482682461870061,0.5,0.09233296755438888,20.36164690561028,63.06363510225507,0.9945478214366388,3.367821684742031,0.5779000466876009,12.456948120309102,3
red,7.484331399198319,0.5740683510450502,0.22842292041460144,2.8352659239869706,0.08694059560559995,11.853189446525999,66.81623281340612,0.9935409302439605,3.3464979750914683,0.5474748053337309,8.5,3
red,6.6556255642334365,0.6207546721160484,0.23557948918835891,3.189891010411075,0.10498848412390523,15.040510285660636,72.11209393217646,0.997823654288122,3.4361106013198013,0.7575322631656453,8.888252617536509,3
red,7.376598542029382,0.4641305835703708,0.27818869480077724,1.9832811003017858,0.0979815806259021,1.0,51.76967613852447,0.9953806953548123,3.305130253969223,0.6641779879589051,11.522569910501677,4
red,7.9562425555666305,0.7634114776892911,0.34627352851957344,0.9613593381576102,0.08925586519313586,15.426721673832951,48.36610473385333,0.9979767304816685,3.1957567236663027,0.6332032908115661,10.405058620118895,3
red,6.324628362171935,0.6104388664156527,0.07882992712348252,3.585166067229953,0.08659110161373505,6.489635928727308,85.85706427062311,0.9961595849752106,3.226731289878912,0.7421928460722025,9.699301703932992,3
